"","seqnames","start","end","width","strand","gene_id"
"94","chr11",112792731,112799008,6278,"-","100038732"
"95","chr14",79860521,79869176,8656,"-","100038734"
"96","chr2",66440880,66546026,105147,"+","100038743"
"97","chr17",94759944,94834799,74856,"-","100038746"
"98","chr10",22402883,22407470,4588,"+","100038752"
"99","chr14",7006115,7027449,21335,"-","100038847"
"100","chr16",36321665,36334332,12668,"-","100038854"
"101","chr17",33176416,33177363,948,"+","100038859"
"102","chr17",33199062,33200009,948,"+","100038860"
"103","chr17",34377132,34386028,8897,"+","100038862"
"104","chr4",156199455,156200796,1342,"-","100038882"
"105","chr7",3884242,3898120,13879,"-","100038909"
"106","chr7",16648949,16657476,8528,"-","100038912"
"107","chr8",21134642,21135598,957,"+","100038927"
"108","chrX",124124961,124135952,10992,"-","100038941"
"109","chr3",15795145,15848528,53384,"-","100038947"
"110","chr4",60418046,60421952,3907,"-","100038948"
"111","chr5",25999022,26004798,5777,"-","100038949"
"112","chrX",25548296,25570452,22157,"-","100038977"
"113","chr12",87861366,87863967,2602,"+","100038982"
"114","chr4",60578260,60582199,3940,"-","100039008"
"115","chr3",40847002,40917098,70097,"+","100039027"
"116","chr4",60658466,60662411,3946,"-","100039028"
"117","chrX",26200678,26231355,30678,"-","100039030"
"118","chr12",87874072,87877859,3788,"+","100039042"
"119","chr3",40854676,40855123,448,"-","100039043"
"120","chr5",26082574,26089291,6718,"-","100039045"
"121","chr4",60737383,60741326,3944,"-","100039054"
"122","chrX",55553147,55568358,15212,"+","100039055"
"123","chr2",176474630,176486783,12154,"-","100039060"
"124","chr12",44221745,44223373,1629,"+","100039062"
"125","chrX",26286977,26310044,23068,"-","100039065"
"126","chr12",87602688,87960683,357996,"+","100039087"
"127","chr4",61224307,61228286,3980,"-","100039089"
"128","chr4",61300023,61304000,3978,"-","100039116"
"129","chrX",26672777,26702638,29862,"-","100039120"
"130","chr2",176798612,176811223,12612,"+","100039123"
"131","chr1",185447116,185455568,8453,"-","100039138"
"132","chr15",3280070,3303526,23457,"-","100039139"
"133","chr11",37658989,37673166,14178,"+","100039148"
"134","chr4",61435790,61439743,3954,"-","100039150"
"135","chr2",60411525,60412579,1055,"+","100039176"
"136","chr4",61515592,61519531,3940,"-","100039177"
"137","chr9",83431547,83454573,23027,"+","100039186"
"138","chr14",26063923,26207041,143119,"-","100039192"
"139","chr4",61591929,61595871,3943,"-","100039206"
"140","chr14",25942539,26096127,153589,"+","100039213"
"141","chr9",83691475,83693223,1749,"+","100039222"
"142","chr7",84528954,84583531,54578,"+","100039239"
"143","chrX",24948574,30841834,5893261,"-","100039240"
"144","chr14",25887506,26182480,294975,"-","100039246"
"145","chr14",25924750,26207012,282263,"-","100039257"
"146","chr14",26221856,26235744,13889,"+","100039280"
"147","chr12",88175589,88182108,6520,"-","100039315"
"148","chrX",117014757,117015104,348,"+","100039319"
"149","chr18",80541892,80544546,2655,"-","100039348"
"150","chrX",144555211,144556337,1127,"-","100039436"
"151","chrX",28270710,30843469,2572760,"-","100039467"
"152","chr7_GL456219_random",94186,95088,903,"-","100039479"
"153","chr6",145250529,145251849,1321,"+","100039495"
"154","chr7_GL456219_random",149261,150163,903,"-","100039499"
"155","chrY",67339176,80757034,13417859,"-","100039574"
"156","chr1",9960163,9967932,7770,"-","100039596"
"157","chr6",147180244,147208285,28042,"+","100039641"
"158","chr4",43583216,43584494,1279,"-","100039672"
"159","chr3",51560035,51567117,7083,"+","100039684"
"160","chr13",97434970,97497007,62038,"+","100039691"
"161","chr7",42816829,42867234,50406,"-","100039706"
"162","chr9",88688602,88720296,31695,"-","100039707"
"163","chr6",147690241,147702374,12134,"+","100039727"
"164","chrY",8832821,8835169,2349,"-","100039753"
"165","chr4",43727188,43728639,1452,"+","100039781"
"166","chr1",166254139,166316823,62685,"+","100039795"
"167","chr11",49057194,49064206,7013,"-","100039796"
"168","chr8",47822143,47822805,663,"+","100039801"
"169","chr5",147418601,147423044,4444,"+","100039805"
"170","chr4",132308623,132311024,2402,"+","100039864"
"171","chrX",148290866,149305003,1014138,"+","100039890"
"172","chr15",54981333,54986891,5559,"-","100039911"
"173","chrX",37412067,37416806,4740,"+","100039913"
"174","chrX",149447617,149487784,40168,"+","100039934"
"175","chrX",37453680,37469861,16182,"+","100039948"
"176","chr7",45176349,45179569,3221,"-","100039953"
"177","chr8",50368112,50416088,47977,"+","100039954"
"178","chr19",8776266,8776560,295,"+","100039957"
"179","chr4",127123691,127129644,5954,"+","100039968"
"180","chrX",37530452,37541813,11362,"+","100040016"
"181","chrY",11197162,15883245,4686084,"-","100040022"
"182","chr7",145205825,145208119,2295,"-","100040049"
"183","chrY",7167094,7636973,469880,"-","100040160"
"184","chr16",89015284,89015846,563,"+","100040201"
"185","chr6",40995830,40999479,3650,"-","100040208"
"186","chr16",89040923,89041472,550,"-","100040214"
"187","chrY",13252391,17967603,4715213,"+","100040223"
"188","chr6",41442216,41446145,3930,"-","100040233"
"189","chr11",99657949,99658960,1012,"-","100040248"
"190","chr4",43834752,43836517,1766,"-","100040268"
"191","chr11",99771714,99772913,1200,"-","100040276"
"192","chr8",87460469,87525554,65086,"+","100040294"
"193","chr7",93178983,93184176,5194,"-","100040298"
"194","chr10",77814682,77815404,723,"+","100040299"
"195","chr13",107022553,107055497,32945,"+","100040322"
"196","chr8",88051511,88070810,19300,"-","100040328"
"197","chr12",105394860,105404618,9759,"-","100040339"
"198","chr13",53393657,53455630,61974,"+","100040421"
"199","chr1",173849126,173880881,31756,"-","100040462"
"200","chrX",32278435,32562003,283569,"+","100040482"
"201","chr17",6613753,6639790,26038,"-","100040525"
"202","chrX",32973938,32975845,1908,"+","100040533"
"203","chr4",45639744,45646111,6368,"+","100040557"
"204","chr17",6601792,6607549,5758,"+","100040563"
"205","chr4",45762377,45764223,1847,"-","100040567"
"206","chr1",87386363,87394729,8367,"-","100040591"
"207","chr8",20337664,20363210,25547,"-","100040599"
"208","chrX",33313379,33315286,1908,"+","100040606"
"209","chr7",51860577,51862267,1691,"-","100040608"
"210","chr4",89050308,89084614,34307,"+","100040617"
"211","chr14",3049285,3076840,27556,"+","100040671"
"212","chrX",33657172,33658872,1701,"+","100040722"
"213","chr12",109729764,109749460,19697,"+","100040724"
"214","chrX",33700649,33702349,1701,"-","100040732"
"215","chr4",114909257,114921967,12711,"+","100040736"
"216","chr1",88226986,88262289,35304,"+","100040766"
"217","chr7",98699225,98702888,3664,"-","100040769"
"218","chrY",66739787,66742123,2337,"-","100040786"
"219","chr11",102576398,102579461,3064,"-","100040792"
"220","chr4",115600969,115621602,20634,"+","100040843"
"221","chr10",26078255,26079447,1193,"+","100040851"
"222","chr14",3810074,3966518,156445,"+","100040852"
"223","chr4",143535954,143558234,22281,"+","100040861"
"224","chrX",54531208,54639019,107812,"+","100040867"
"225","chr14",3428103,3669854,241752,"+","100040880"
"226","chr3",40504867,40522912,18046,"-","100040882"
"227","chrY",85528517,85529518,1002,"-","100040911"
"228","chrX",154886805,154890267,3463,"-","100040937"
"229","chr10",81746207,81771161,24955,"-","100040944"
"230","chr7",45324965,45325617,653,"+","100040970"
"231","chrX",136214779,136226100,11322,"+","100040972"
"232","chr12",69963409,69969736,6328,"+","100040999"
"233","chrY",24188717,26265649,2076933,"-","100041014"
"234","chr1_GL456211_random",160465,162404,1940,"-","100041034"
"235","chr4",88757844,88758380,537,"+","100041062"
"236","chr4",144106474,144110101,3628,"+","100041077"
"237","chr10",39946912,39960184,13273,"-","100041085"
"238","chr9",106625981,106627675,1695,"+","100041096"
"239","chr10",77011501,77029575,18075,"-","100041099"
"240","chr3",34699640,34716662,17023,"-","100041108"
"241","chr14",6735685,6742332,6648,"-","100041151"
"242","chr7",103309723,103310661,939,"+","100041187"
"243","chr13",21811746,21812147,402,"+","100041230"
"244","chr14",34345281,34345583,303,"+","100041231"
"245","chr10",77758990,77759682,693,"-","100041250"
"246","chr5",94865436,95195342,329907,"+","100041253"
"247","chr10",77770633,77771325,693,"-","100041261"
"248","chr15",73809507,73809896,390,"-","100041273"
"249","chr10",77781850,77782542,693,"-","100041281"
"250","chr11",6525591,6528779,3189,"-","100041286"
"251","chr10",31413815,31414165,351,"-","100041294"
"252","chr5",95305911,95343917,38007,"+","100041296"
"253","chr14",4855576,4875851,20276,"+","100041306"
"254","chr11",6650148,6660233,10086,"-","100041311"
"255","chr6",55684571,55694574,10004,"+","100041339"
"256","chr11",7183153,7188569,5417,"-","100041347"
"257","chr10",77861975,77862882,908,"+","100041351"
"258","chr17",13354572,13377223,22652,"+","100041352"
"259","chr5",145558664,145584730,26067,"-","100041375"
"260","chr4",145670685,145704441,33757,"+","100041379"
"261","chr11",99602646,99603308,663,"-","100041412"
"262","chr4",146502027,146539395,37369,"+","100041433"
"263","chr5",146079257,146113287,34031,"+","100041449"
"264","chr2",18742715,18760862,18148,"-","100041479"
"265","chr3",10088110,10092565,4456,"+","100041480"
"266","chr11",99609794,99610189,396,"-","100041488"
"267","chrY",3771673,3783267,11595,"+","100041505"
"268","chr14",5438065,5807982,369918,"-","100041515"
"269","chr14",3412614,3673215,260602,"+","100041530"
"270","chr15",75108158,75111970,3813,"-","100041546"
"271","chr5",146514123,146558915,44793,"+","100041548"
"272","chrY",17093879,17095887,2009,"+","100041550"
"273","chr5",146525801,146528553,2753,"+","100041554"
"274","chrX",85826661,85834831,8171,"+","100041562"
"275","chr5",146537647,146540427,2781,"+","100041566"
"276","chr17",14978468,14991572,13105,"+","100041574"
"277","chr5",45719667,45727578,7912,"-","100041576"
"278","chr4",41941572,42439970,498399,"+","100041579"
"279","chr4",58943628,58958355,14728,"+","100041581"
"280","chr10",40289324,40302186,12863,"-","100041585"
"281","chr17",14964242,15041439,77198,"-","100041586"
"282","chr1",93918311,93942650,24340,"+","100041596"
"283","chr9",35848124,35850253,2130,"-","100041605"
"284","chr9",36134246,36135630,1385,"-","100041618"
"285","chr17",15010176,15022449,12274,"+","100041621"
"286","chr17",14964242,15041537,77296,"-","100041639"
"287","chr15",79166041,79227524,61484,"+","100041655"
"288","chr4",60066469,60070475,4007,"-","100041658"
"289","chr4",147753974,147809840,55867,"-","100041677"
"290","chr14",5365794,5741577,375784,"-","100041678"
"291","chr4",60218621,60222599,3979,"-","100041687"
"292","chr8",21065038,21065996,959,"+","100041688"
"293","chr12",76444497,76451336,6840,"+","100041694"
"294","chr14",41573211,41581305,8095,"+","100041722"
"295","chr14",46379414,46383608,4195,"+","100041724"
"296","chr8",21201561,21202539,979,"+","100041759"
"297","chr14",3395093,3642943,247851,"+","100041774"
"298","chr8",21249754,21250556,803,"+","100041787"
"299","chr5",52441159,52443252,2094,"+","100041805"
"300","chr8",21315546,21316387,842,"+","100041811"
"301","chr14",3449379,3698000,248622,"+","100041840"
"302","chr14",7545151,7568566,23416,"-","100041874"
"303","chr8",21529032,21530012,981,"+","100041890"
"304","chr8",21427411,21566349,138939,"+","100041895"
"305","chr8",21665797,21666732,936,"+","100041952"
"306","chr14",57798264,57802327,4064,"+","100041953"
"307","chr10",80827712,80828977,1266,"+","100041965"
"308","chr13",62368328,62383177,14850,"-","100041979"
"309","chr5",22528321,22528719,399,"-","100042049"
"310","chr14",41767172,43015628,1248457,"-","100042055"
"311","chr6",54269681,54430221,160541,"-","100042056"
"312","chr1",39804148,39805332,1185,"-","100042065"
"313","chr4",36952966,36988032,35067,"+","100042132"
"314","chr12",81228284,81243258,14975,"+","100042143"
"315","chr14",7083208,7100621,17414,"-","100042149"
"316","chr18",36017652,36197380,179729,"-","100042150"
"317","chr5",104508352,104522611,14260,"+","100042165"
"318","chr5",151406504,151432118,25615,"+","100042166"
"319","chr11",6172644,6173036,393,"-","100042173"
"320","chr2",35549538,35558702,9165,"-","100042194"
"321","chr5",64593857,64610700,16844,"-","100042198"
"322","chrX",4037674,4801986,764313,"+","100042254"
"323","chrX",4952135,4954077,1943,"+","100042275"
"324","chr13",70021959,70119949,97991,"+","100042291"
"325","chr9",78257129,78269166,12038,"+","100042295"
"326","chr9",78289923,78305525,15603,"+","100042314"
"327","chr11",120185400,120189852,4453,"-","100042332"
"328","chr14",43602627,43608013,5387,"-","100042342"
"329","chr14",9884195,9886768,2574,"+","100042415"
"330","chr7",12176193,12177113,921,"+","100042437"
"331","chr7",6398715,6441691,42977,"+","100042450"
"332","chrX",101849385,102092055,242671,"+","100042480"
"333","chr11",75461539,75466676,5138,"+","100042498"
"334","chr7",12651706,12685003,33298,"-","100042499"
"335","chr3",92285417,92291405,5989,"+","100042514"
"336","chr2",39157486,39162235,4750,"-","100042584"
"337","chr7",7378251,7399703,21453,"-","100042591"
"338","chr5",143164779,143165751,973,"-","100042605"
"339","chr7",7670804,7689513,18710,"-","100042636"
"340","chr10",112837752,112845385,7634,"+","100042639"
"341","chr7",7875954,7902495,26542,"-","100042653"
"342","chr8",32888505,32950026,61522,"-","100042715"
"343","chr18",42274382,42275197,816,"-","100042757"
"344","chr7",8906772,8931435,24664,"-","100042781"
"345","chrX",8985900,8986755,856,"-","100042782"
"346","chr2",92972018,93046167,74150,"-","100042784"
"347","chr2",122028652,122029328,677,"+","100042807"
"348","chr7",8469563,8489075,19513,"-","100042810"
"349","chr1",71652837,71662843,10007,"+","100042814"
"350","chrY",2599099,2599434,336,"+","100042840"
"351","chr7",8136950,8161654,24705,"-","100042848"
"352","chr18",44156395,44159885,3491,"-","100042855"
"353","chr7",105895139,106215326,320188,"-","100042856"
"354","chr3",95871522,95889093,17572,"+","100042889"
"355","chr7",8009397,9841325,1831929,"-","100042891"
"356","chr7",9478413,9770571,292159,"-","100042894"
"357","chr7",10087198,10105741,18544,"-","100042921"
"358","chrX",11299257,11299757,501,"+","100042922"
"359","chr2",58164001,58177063,13063,"+","100042926"
"360","chrX",11302432,11302926,495,"+","100042927"
"361","chrX",11305655,11324976,19322,"+","100042931"
"362","chrX",11318256,11318764,509,"+","100042943"
"363","chr16",20545212,20548456,3245,"-","100042948"
"364","chr7",20333142,20334065,924,"-","100042964"
"365","chr7",20356798,22353397,1996600,"-","100042966"
"366","chr7",20441670,22438229,1996560,"-","100042968"
"367","chr18",47761089,47789533,28445,"-","100042982"
"368","chr7",20811221,20812186,966,"-","100042996"
"369","chr7",21300502,21301467,966,"-","100043013"
"370","chr7",21545170,23251682,1706513,"-","100043016"
"371","chr7",22983714,22984673,960,"-","100043019"
"372","chr7",20121656,20122579,924,"-","100043033"
"373","chr4",147021850,147060794,38945,"+","100043034"
"374","chr7",20138123,22134741,1996619,"-","100043037"
"375","chr12",3403878,3427011,23134,"-","100043040"
"376","chr7",22328794,22329717,924,"-","100043043"
"377","chr16",26503656,26526769,23114,"-","100043057"
"378","chr7",20473960,22464075,1990116,"-","100043058"
"379","chr7",20575321,22565343,1990023,"-","100043061"
"380","chr12",31168862,31185901,17040,"+","100043065"
"381","chr7",22789859,22790782,924,"-","100043067"
"382","chr7",21760531,21761475,945,"-","100043079"
"383","chr7",21795811,23019923,1224113,"-","100043083"
"384","chr7",20702296,20703216,921,"-","100043088"
"385","chr7",12221316,12225807,4492,"+","100043092"
"386","chr7",23540720,23541649,930,"+","100043101"
"387","chr16",30008667,30021430,12764,"+","100043102"
"388","chr7",23577185,23578099,915,"+","100043103"
"389","chr19",39842814,39886799,43986,"-","100043108"
"390","chr11",115031486,115037769,6284,"-","100043123"
"391","chr11",115020728,115027012,6285,"-","100043125"
"392","chr14",71251273,71271051,19779,"+","100043132"
"393","chr7",128234458,128238031,3574,"-","100043133"
"394","chr7",129962165,129978669,16505,"+","100043150"
"395","chr14",74975086,74987104,12019,"+","100043169"
"396","chrX",21743440,21745097,1658,"-","100043180"
"397","chr3",94174412,94178193,3782,"-","100043188"
"398","chr14",75843379,75844964,1586,"-","100043189"
"399","chr7",13733505,13779636,46132,"+","100043194"
"400","chr10",129965736,129966698,963,"-","100043200"
"401","chrX",105348282,105391776,43495,"-","100043213"
"402","chrX",24552250,24574895,22646,"-","100043216"
"403","chr10",100335676,100367412,31737,"+","100043224"
"404","chr7",27765673,27770972,5300,"+","100043229"
"405","chr10",100345972,100362247,16276,"+","100043231"
"406","chr2",115493513,115527744,34232,"-","100043232"
"407","chr10",100381647,100382560,914,"-","100043247"
"408","chr7",135258703,135272942,14240,"+","100043254"
"409","chr2",118745758,118748810,3053,"+","100043272"
"410","chr17",39536142,39540847,4706,"+","100043300"
"411","chr3",95427671,95431087,3417,"+","100043305"
"412","chr11",73015856,73018841,2986,"-","100043309"
"413","chr16",43648867,43664146,15280,"-","100043314"
"414","chr15",95097542,95162394,64853,"-","100043315"
"415","chr7",31359038,31362072,3035,"-","100043326"
"416","chr17",43534188,43543639,9452,"-","100043332"
"417","chr2",175321955,175338197,16243,"-","100043381"
"418","chr2",176708328,176721813,13486,"+","100043387"
"419","chr12",22115756,22156646,40891,"-","100043416"
"420","chr2",128178319,128502765,324447,"-","100043424"
"421","chr17",32242163,32242507,345,"+","100043434"
"422","chr19",52923181,52941209,18029,"+","100043450"
"423","chr3",98499071,98588807,89737,"-","100043456"
"424","chr17",33289544,33307241,17698,"+","100043468"
"425","chr17",33215261,33216351,1091,"-","100043474"
"426","chr16",21794318,21809040,14723,"+","100043489"
"427","chr6",85706727,85713205,6479,"-","100043497"
"428","chr16",22295027,22295231,205,"+","100043507"
"429","chr10",122119700,122130558,10859,"+","100043513"
"430","chr7",20232908,20233828,921,"-","100043523"
"431","chr7",20417942,22414506,1996565,"+","100043536"
"432","chr7",20724525,22719710,1995186,"-","100043566"
"433","chr7",20771185,20772078,894,"+","100043569"
"434","chr7",127232418,127233130,713,"-","100043580"
"435","chr17",64514081,64555660,41580,"-","100043582"
"436","chr7",127511983,127567054,55072,"+","100043597"
"437","chr2",119321187,119326194,5008,"-","100043609"
"438","chr7",21994587,21995510,924,"+","100043614"
"439","chr7",142273764,142274363,600,"-","100043627"
"440","chr11",83223576,83260930,37355,"+","100043636"
"441","chr17",71333201,71341804,8604,"-","100043644"
"442","chr7",132315664,132318291,2628,"+","100043682"
"443","chr3",113345055,113356658,11604,"-","100043684"
"444","chr3",113312455,113324052,11598,"-","100043686"
"445","chr3",113279843,113291449,11607,"-","100043688"
"446","chr7",24661294,24663109,1816,"+","100043706"
"447","chr2",174643534,174710832,67299,"+","100043757"
"448","chr14",79178894,79199190,20297,"-","100043765"
"449","chr2",130803501,130803982,482,"-","100043766"
"450","chr7",27984854,28014115,29262,"-","100043772"
"451","chr6",121064464,121069954,5491,"+","100043793"
"452","chr3",90212522,90213645,1124,"-","100043813"
"453","chr9",116189180,116194886,5707,"+","100043817"
"454","chr7",31263757,31265768,2012,"+","100043827"
"455","chr7",31703779,31705757,1979,"-","100043836"
"456","chr7",32209173,32211145,1973,"-","100043842"
"457","chr7",33171892,33173864,1973,"-","100043856"
"458","chr7",33743799,33744982,1184,"+","100043860"
"459","chr6",128705836,128723059,17224,"-","100043861"
"460","chr7",34095431,34100837,5407,"+","100043868"
"461","chr17",75861023,75889039,28017,"+","100043885"
"462","chr2",163492318,163502612,10295,"+","100043899"
"463","chr17",85600651,85618398,17748,"-","100043902"
"464","chr17",89379241,89384993,5753,"+","100043904"
"465","chr2",173579320,173659640,80321,"-","100043911"
"466","chrX",12339782,12354996,15215,"-","100043946"
"467","chr17",94864918,94878321,13404,"+","100044193"
"468","chr8",4248214,4251423,3210,"+","100044509"
"469","chr1",51507086,51596718,89633,"-","100045066"
"470","chr2",158595472,158610723,15252,"-","100045469"
"471","chr10",18128903,18210890,81988,"-","100045792"
"472","chr16",31427876,31429776,1901,"-","100047123"
"473","chr1",40076228,40085851,9624,"-","100047133"
"474","chr19",47736857,47919287,182431,"-","100048534"
"475","chr9",78395777,78423587,27811,"+","100048658"
"476","chr2",129158666,129180667,22002,"-","100048701"
"477","chr4",61670177,61674136,3960,"-","100048884"
"478","chr4",61516520,61782269,265750,"-","100048885"
"479","chr15",98567324,98569583,2260,"+","100048895"
"480","chr4",140810993,140817511,6519,"+","100049161"
"481","chrX",66796805,66796875,71,"-","100049545"
"482","chrX",66776757,66776818,62,"-","100049546"
"483","chr11",50357785,50357879,95,"-","100049547"
"484","chrX",66780373,66780437,65,"-","100049548"
"485","chr8",84178716,84178787,72,"-","100049549"
"486","chr7",3218626,3218708,83,"+","100049710"
"487","chr7",3219189,3219270,82,"+","100049711"
"488","chr7",3220641,3220724,84,"+","100049712"
"489","chr7",3220773,3220841,69,"+","100049713"
"490","chr7",3220343,3220422,80,"+","100049714"
"491","chr7",3218919,3219000,82,"+","100049715"
"492","chr4",94636653,94650144,13492,"-","100061"
"493","chr4",96294508,96348662,54155,"-","100066"
"494","chr4",150917322,151861876,944555,"-","100072"
"495","chrX",157566119,157568985,2867,"-","100073351"
"496","chr4",108847785,108849413,1629,"+","100087"
"497","chr4",132331919,132353605,21687,"-","100088"
"498","chr4",152019774,152027671,7898,"-","100090"
"499","chr6",141340553,141344387,3835,"+","100093700"
"500","chr11",66168035,66301237,133203,"+","100093714"
"501","chr9",45954101,45955998,1898,"+","100101457"
"502","chr12",55239326,55263020,23695,"+","100101806"
"503","chr12",55124469,55217168,92700,"+","100101807"
"504","chr1",46425592,46807476,381885,"+","100101919"
"505","chr4",106442329,106464329,22001,"-","100102"
"506","chr5",129794546,129794676,131,"+","100113364"
"507","chrX",123890522,123893407,2886,"-","100113394"
"508","chr10",80602880,80607654,4775,"+","100113398"
"509","chr4",45965334,46034761,69428,"+","100121"
"510","chrX",52742331,52742413,83,"-","100124431"
"511","chr16",13449523,13449601,79,"+","100124432"
"512","chr14",54975700,54975776,77,"-","100124433"
"513","chr14",44947443,44947511,69,"-","100124437"
"514","chr7",19386643,19386717,75,"+","100124438"
"515","chr7",61940027,61940106,80,"-","100124439"
"516","chrX",66835764,66835842,79,"-","100124440"
"517","chrX",66825955,66832597,6643,"-","100124441"
"518","chr2",10498685,10498766,82,"+","100124442"
"519","chr2",10481534,10481617,84,"+","100124443"
"520","chr2",10507630,10507714,85,"+","100124447"
"521","chrX",68010105,68010179,75,"-","100124449"
"522","chr12",109729325,109729402,78,"+","100124450"
"523","chr5",64970318,64970395,78,"+","100124451"
"524","chr14",63727189,63727267,79,"+","100124452"
"525","chr12",109723218,109723301,84,"+","100124453"
"526","chr4",94665157,94665237,81,"+","100124456"
"527","chr4",36668510,36668586,77,"-","100124457"
"528","chr4",36645373,36645453,81,"-","100124458"
"529","chr17",35960730,35960814,85,"-","100124459"
"530","chrX",66801944,66802021,78,"-","100124460"
"531","chr12",109682197,109682273,77,"+","100124461"
"532","chrX",66780758,66780833,76,"-","100124462"
"533","chrX",72591500,72591579,80,"-","100124463"
"534","chr12",109580233,109580315,83,"+","100124466"
"535","chr16",43640655,43640737,83,"+","100124467"
"536","chr6",3721301,3721385,85,"-","100124468"
"537","chr15",35660970,35661047,78,"-","100124469"
"538","chr3",89227116,89227198,83,"-","100124470"
"539","chr7",3219482,3219560,79,"+","100124471"
"540","chrX",66829202,66829280,79,"-","100124473"
