"","seqnames","start","end","width","strand","gene_id"
"130","chr13",107812650,107845577,32928,"+","100040322"
"131","chr1",175787351,175810318,22968,"-","100040462"
"132","chrX",30977793,30979742,1950,"+","100040533"
"133","chr1",89282859,89291304,8446,"-","100040591"
"134","chr8",19933242,19958780,25539,"-","100040599"
"135","chrX",31349047,31350997,1951,"-","100040606"
"136","chr7",59115949,59117637,1689,"-","100040608"
"137","chr4",88696211,88730514,34304,"+","100040617"
"138","chr14",3049286,3077025,27740,"+","100040671"
"139","chr12",110967974,110987667,19694,"+","100040724"
"140","chr4",114581894,114594572,12679,"+","100040736"
"141","chr1",90123595,90158864,35270,"+","100040766"
"142","chrY_random",17981234,17983607,2374,"-","100040786"
"143","chr4",115273543,115294971,21429,"+","100040843"
"144","chr10",25798061,25799253,1193,"+","100040851"
"145","chr14",3920624,3936392,15769,"+","100040852"
"146","chr4",143101215,143132374,31160,"+","100040854"
"147","chr4",143141603,143148139,6537,"+","100040861"
"148","chrX",51834385,51942193,107809,"+","100040867"
"149","chr14",3533791,4069555,535765,"+","100040880"
"150","chrY_random",18519133,18520125,993,"+","100040911"
"151","chrX",151321346,151324810,3465,"-","100040937"
"152","chrX",132758580,132760639,2060,"+","100040972"
"153","chr12",71064396,71070731,6336,"+","100040999"
"154","chr4",143689783,143700004,10222,"+","100041077"
"155","chr10",39666720,39679959,13240,"-","100041085"
"156","chr9",106528913,106529943,1031,"+","100041096"
"157","chr7",110458237,110459175,939,"+","100041187"
"158","chr13",21903615,21904019,405,"+","100041230"
"159","chr14",35158241,35158844,604,"+","100041231"
"160","chr2",19577433,19579524,2092,"-","100041244"
"161","chr10",77233378,77234070,693,"-","100041261"
"162","chr15",76124864,76127326,2463,"+","100041269"
"163","chr4",118299009,118304520,5512,"+","100041290"
"164","chr10",31133532,31134241,710,"-","100041294"
"165","chr11",6550151,6560239,10089,"-","100041311"
"166","chr10",77292212,77333294,41083,"+","100041351"
"167","chr17",13547438,13570089,22652,"+","100041352"
"168","chr5",146319533,146531712,212180,"-","100041375"
"169","chr4",145260600,145294340,33741,"+","100041379"
"170","chr11",99463960,99464622,663,"-","100041412"
"171","chr8",73242442,73246534,4093,"+","100041434"
"172","chr5",146890834,146924859,34026,"+","100041449"
"173","chr11",99471108,99471503,396,"-","100041488"
"174","chr15",74938591,74942379,3789,"-","100041546"
"175","chrY_random",8781435,41876322,33094888,"-","100041550"
"176","chr17",15115828,15179380,63553,"+","100041574"
"177","chr5",46110906,46118817,7912,"-","100041576"
"178","chr4",58956500,58971227,14728,"+","100041581"
"179","chr17",15101153,15178523,77371,"-","100041586"
"180","chr9",35656130,35657465,1336,"-","100041605"
"181","chr9",35941872,35943215,1344,"-","100041618"
"182","chr17",15146804,15159413,12610,"+","100041621"
"183","chr15",78996496,79047813,51318,"+","100041655"
"184","chr4",60079341,60083347,4007,"-","100041658"
"185","chr4",147128083,147183895,55813,"-","100041677"
"186","chr4",60231493,60675267,443775,"-","100041687"
"187","chr8",22204717,22205680,964,"+","100041688"
"188","chr12",77545484,77552323,6840,"+","100041694"
"189","chr14",46999142,47003281,4140,"+","100041724"
"190","chr8",22341283,22342125,843,"+","100041759"
"191","chr8",22389441,22390140,700,"+","100041787"
"192","chr5",100849861,100858554,8694,"-","100041797"
"193","chr8",22455225,22456066,842,"+","100041811"
"194","chr8",22639502,22640484,983,"+","100041890"
"195","chr8",22675858,22676822,965,"+","100041895"
"196","chr8",22776269,22777205,937,"+","100041952"
"197","chr13",62469076,62484534,15459,"-","100041979"
"198","chr5",22034039,22034848,810,"-","100042049"
"199","chr6",54195736,54380215,184480,"-","100042056"
"200","chr1",39860986,39862177,1192,"-","100042065"
"201","chr14",7915539,8491068,575530,"-","100042149"
"202","chr18",36177312,36356814,179503,"-","100042150"
"203","chr5",104937371,104951402,14032,"+","100042165"
"204","chr11",6072511,6073334,824,"-","100042173"
"205","chrX",3748194,4448017,699824,"+","100042254"
"206","chr9",78137735,78153332,15598,"+","100042314"
"207","chr11",120047964,120051170,3207,"-","100042332"
"208","chr14",44180292,44185678,5387,"-","100042342"
"209","chr14",10716609,10719382,2774,"+","100042415"
"210","chrY_random",28838096,28839087,992,"+","100042428"
"211","chr7",12761542,12762462,921,"+","100042437"
"212","chr7",6367886,6383797,15912,"+","100042450"
"213","chr1",46068392,46069108,717,"-","100042453"
"214","chr9",41389422,41400910,11489,"+","100042464"
"215","chrX",99044724,99287394,242671,"+","100042480"
"216","chr9",36064624,36065908,1285,"-","100042485"
"217","chr11",75275041,75280192,5152,"+","100042498"
"218","chr7",13237055,13270340,33286,"-","100042499"
"219","chr4",41763294,42106027,342734,"+","100042539"
"220","chr4",41958526,42292530,334005,"-","100042555"
"221","chr2",39013006,39017755,4750,"-","100042584"
"222","chr7",7336696,7352338,15643,"-","100042591"
"223","chr7",7624540,7642109,17570,"-","100042636"
"224","chr17",22916825,22954714,37890,"-","100042679"
"225","chr8",33998977,34060498,61522,"-","100042715"
"226","chr18",42434034,42434851,818,"-","100042757"
"227","chr3",93875544,93876566,1023,"-","100042761"
"228","chr7",9246439,9270107,23669,"+","100042781"
"229","chrX",8563026,8563881,856,"-","100042782"
"230","chr2",92815063,92886301,71239,"-","100042784"
"231","chr12",88985075,89080787,95713,"-","100042786"
"232","chr7",9638311,9655801,17491,"+","100042810"
"233","chr7",9965779,9989425,23647,"+","100042848"
"234","chr18",44316058,44318957,2900,"-","100042855"
"235","chr7",10672547,10691008,18462,"-","100042921"
"236","chrX",10876383,10886386,10004,"+","100042922"
"237","chr16",20545185,20548629,3445,"-","100042948"
"238","chr7",20918491,23114736,2196246,"-","100042964"
"239","chr7",20941975,23139574,2197600,"-","100042966"
"240","chr17",34012611,34027578,14968,"-","100042970"
"241","chr7",23349442,23350362,921,"-","100042976"
"242","chr7",21287648,23477336,2189689,"-","100042980"
"243","chr7",21596240,21597205,966,"-","100042996"
"244","chr7",22085521,22086486,966,"-","100043013"
"245","chr7",21487315,24036701,2549387,"-","100043016"
"246","chr7",22580830,22581747,918,"-","100043025"
"247","chr4",146346051,146426699,80649,"+","100043034"
"248","chr12",3403883,3426747,22865,"-","100043040"
"249","chr7",21027019,23223248,2196230,"-","100043051"
"250","chr16",26503879,26526857,22979,"-","100043057"
"251","chr7",21059309,23249094,2189786,"-","100043058"
"252","chr7",21160670,21161590,921,"-","100043061"
"253","chr7",23574878,23575801,924,"-","100043067"
"254","chr7",22545550,23769692,1224143,"-","100043079"
"255","chr7",23804025,23804942,918,"-","100043083"
"256","chr4",147047612,147076662,29051,"-","100043100"
"257","chr7",24325739,24326668,930,"+","100043101"
"258","chr16",30008753,30021516,12764,"+","100043102"
"259","chr7",24362204,24363118,915,"+","100043103"
"260","chr19",39917150,39961259,44110,"-","100043108"
"261","chr11",114882042,114909609,27568,"-","100043125"
"262","chr7",135377965,135381545,3581,"-","100043133"
"263","chr17",26038801,26039172,372,"-","100043160"
"264","chr3",93978334,93982115,3782,"-","100043188"
"265","chr7",14318855,14364986,46132,"+","100043194"
"266","chr10",129402792,129403754,963,"-","100043200"
"267","chrX",102543621,102587093,43473,"-","100043213"
"268","chrX",24129376,24152021,22646,"-","100043216"
"269","chr8",125365478,125366173,696,"+","100043225"
"270","chr10",99808604,99824881,16278,"+","100043227"
"271","chr7",28550692,28556809,6118,"+","100043229"
"272","chr2",115319249,115337937,18689,"-","100043232"
"273","chr10",99803472,99804396,925,"+","100043239"
"274","chr10",99829133,99830046,914,"+","100043247"
"275","chr7",142460302,142464625,4324,"+","100043254"
"276","chr2",118571498,118574543,3046,"+","100043272"
"277","chr10",103605569,103625055,19487,"+","100043292"
"278","chr3",95231271,95235009,3739,"+","100043305"
"279","chr16",43648974,43664297,15324,"-","100043314"
"280","chr15",94928053,94992825,64773,"-","100043315"
"281","chr15",96013231,96033901,20671,"+","100043335"
"282","chr2",176455231,176792580,337350,"+","100043387"
"283","chr2",128124399,128255087,130689,"-","100043424"
"284","chr19",52997671,53001421,3751,"+","100043450"
"285","chr17",33426489,33441634,15146,"+","100043468"
"286","chr17",33352206,33353296,1091,"-","100043474"
"287","chr10",121556753,121567614,10862,"+","100043513"
"288","chr7",21696446,21697366,921,"-","100043523"
"289","chr7",21003291,21004214,924,"+","100043536"
"290","chr7",22779606,22780529,924,"+","100043561"
"291","chr7",21556204,21557097,894,"+","100043569"
"292","chr7",134375932,134376644,713,"-","100043580"
"293","chr7",148592434,148593225,792,"+","100043585"
"294","chr7",21196233,23963780,2767548,"+","100043595"
"295","chr7",22379150,22882940,503791,"+","100043604"
"296","chr2",119146935,119151933,4999,"-","100043609"
"297","chr7",21254267,21255190,924,"+","100043614"
"298","chr11",83037078,83040086,3009,"+","100043636"
"299","chr17",71682541,71691144,8604,"-","100043644"
"300","chr7",24002351,24003274,924,"+","100043667"
"301","chr7",139507347,139509974,2628,"+","100043682"
"302","chr3",113082755,113126970,44216,"-","100043684"
"303","chr3",113147967,113159576,11610,"-","100043686"
"304","chr7",25446313,25448128,1816,"+","100043706"
"305","chr2",174469035,174536331,67297,"+","100043757"
"306","chr2",130627702,130629837,2136,"-","100043766"
"307","chr7",34528818,34530122,1305,"+","100043860"
"308","chr6",128656526,128673064,16539,"-","100043861"
"309","chr7",34880450,34885856,5407,"+","100043868"
"310","chr17",76260363,76288379,28017,"+","100043885"
"311","chr2",163318054,163328348,10295,"+","100043899"
"312","chr17",86001793,86018751,16959,"-","100043902"
"313","chr2",169886740,169896278,9539,"-","100043910"
"314","chr2",173404821,173485040,80220,"-","100043911"
"315","chr8",4248214,4251423,3210,"+","100044509"
"316","chr10",76881121,76883684,2564,"+","100045653"
"317","chr7",16487011,16489365,2355,"+","100047130"
"318","chr9",78243584,78271396,27813,"+","100048658"
"319","chr4",60885339,61335128,449790,"-","100048884"
"320","chr4",60591133,60675267,84135,"-","100048885"
"321","chr15",98397755,98401295,3541,"+","100048895"
"322","chrX",64049980,64050050,71,"-","100049545"
"323","chrX",64029932,64029993,62,"-","100049546"
"324","chr11",50171287,50171381,95,"-","100049547"
"325","chrX",64033548,64033612,65,"-","100049548"
"326","chr8",86702615,86702686,72,"-","100049549"
"327","chr7",3218627,3218709,83,"+","100049710"
"328","chr4",94303351,94316835,13485,"-","100061"
"329","chr4",95961199,96015371,54173,"-","100066"
"330","chr4",150433632,151235877,802246,"-","100072"
"331","chrX",154003879,154036647,32769,"-","100073351"
"332","chr4",108520462,108522017,1556,"+","100087"
"333","chr4",131887834,131901665,13832,"-","100088"
"334","chr4",151393885,151401780,7896,"-","100090"
"335","chr6",141289074,141292908,3835,"+","100093700"
"336","chr12",56331465,56380316,48852,"+","100101806"
"337","chr12",56300579,56318133,17555,"+","100101807"
"338","chr4",106114939,106136930,21992,"-","100102"
"339","chr5",130300437,130300552,116,"+","100113364"
"340","chr10",80065625,80070399,4775,"+","100113398"
"341","chr4",45978206,46047631,69426,"+","100121"
"342","chrX",50095508,50095590,83,"-","100124431"
"343","chr16",13449616,13449694,79,"+","100124432"
"344","chr14",55594537,55594613,77,"-","100124433"
"345","chr7",19971992,19972066,75,"+","100124438"
"346","chr7",69084913,69084992,80,"-","100124439"
"347","chrX",64085692,64085772,81,"-","100124441"
"348","chr2",10429257,10429341,85,"+","100124447"
"349","chrX",65263280,65263354,75,"-","100124449"
"350","chr5",65361557,65361634,78,"+","100124451"
"351","chr14",64346026,64346104,79,"+","100124452"
"352","chr12",110961428,110961511,84,"+","100124453"
"353","chr4",94331848,94331928,81,"+","100124456"
"354","chr4",36615543,36615619,77,"-","100124457"
"355","chr4",36592406,36592486,81,"-","100124458"
"356","chr17",36097675,36097759,85,"-","100124459"
"357","chrX",64055119,64055196,78,"-","100124460"
"358","chr12",110920407,110920483,77,"+","100124461"
"359","chrX",64033933,64034008,76,"-","100124462"
"360","chrX",69836839,69836918,80,"-","100124463"
"361","chrX",64079130,64079210,81,"-","100124464"
"362","chr12",110818443,110818525,83,"+","100124466"
"363","chr16",43640768,43640850,83,"+","100124467"
"364","chr6",3671301,3671385,85,"-","100124468"
"365","chr15",35590725,35590802,78,"-","100124469"
"366","chr3",89031038,89031120,83,"-","100124470"
"367","chrX",64082377,64089017,6641,"-","100124473"
"368","chrX",56350835,56350913,79,"-","100124476"
"369","chrX",64063603,64063679,77,"-","100124478"
"370","chrX",64054683,64054760,78,"-","100124479"
"371","chrX",64053705,64053782,78,"-","100124480"
"372","chr3",89873942,89874021,80,"+","100124481"
"373","chr2",10437447,10437548,102,"+","100124482"
"374","chr12",110973829,110973910,82,"+","100124484"
"375","chr2",14182630,14182708,79,"+","100124488"
"376","chr13",110114938,110115017,80,"+","100124489"
"377","chr13",58124486,58124561,76,"-","100124491"
"378","chr5",9375704,9375779,76,"+","100124492"
"379","chrX",64043065,64043142,78,"-","100124493"
"380","chrX",100768260,100768335,76,"-","100124494"
"381","chr2",10436222,10436301,80,"+","100124495"
"382","chrX",64030431,64030507,77,"-","100124496"
"383","chr13",50696341,50696449,109,"-","100124649"
"384","chr1",192849230,192853660,4431,"+","100125339"
"385","chr3",63920354,63941402,21049,"-","100125586"
"386","chr3",103768459,103772239,3781,"-","100125931"
"387","chr15",101315561,101321943,6383,"-","100126226"
"388","chr17",38553419,38557130,3712,"-","100126765"
"389","chr17",38776392,38782598,6207,"+","100126768"
"390","chr17",38691137,38697566,6430,"+","100126773"
"391","chr17",40735543,40739566,4024,"+","100126777"
"392","chr17",40656971,40667651,10681,"+","100126778"
"393","chr17",39210636,39213982,3347,"-","100126779"
"394","chr19",8800356,8800481,126,"+","100127111"
"395","chr4",151648471,151659446,10976,"+","100129"
"396","chr11",23458060,23458842,783,"-","100134990"
"397","chrX",34836550,34840470,3921,"+","100135653"
"398","chrX",34884375,34888286,3912,"+","100135654"
"399","chrX",34961473,34965404,3932,"+","100135657"
"400","chr4",133952275,133983327,31053,"+","100163"
"401","chr4",141170285,141171519,1235,"+","100165"
"402","chr4",131911839,131978361,66523,"-","100169"
"403","chr17",57231446,57245365,13920,"-","100169874"
"404","chr10",76720518,76721968,1451,"-","100169878"
"405","chr7",6659471,6660335,865,"+","100169889"
"406","chr7",50469409,50482212,12804,"+","100170401"
"407","chr4",126754627,126801538,46912,"+","100177"
"408","chr4",63028162,63071748,43587,"-","100182"
"409","chr4",60962112,61443258,481147,"-","100189605"
"410","chr13",113827627,113827706,80,"+","100190765"
"411","chr10",77288914,77289815,902,"-","100191037"
"412","chr4",149353590,149383132,29543,"-","100198"
"413","chr4",15192967,15213900,20934,"+","100201"
"414","chr4",125993595,125998947,5353,"-","100206"
"415","chr4",133140288,133147650,7363,"+","100210"
"416","chr4",43394854,43439960,45107,"+","100213"
"417","chr2",150083253,150096036,12784,"+","100216455"
"418","chr17",7555253,7557045,1793,"-","100216474"
"419","chr11",116535461,116535537,77,"+","100216531"
"420","chr16",23109026,23109093,68,"+","100216532"
"421","chr4",116828376,116828453,78,"-","100216533"
"422","chr11",48615535,48615611,77,"+","100216534"
"423","chr9",15130733,15130774,42,"-","100216535"
"424","chr11",116533819,116533896,78,"+","100216536"
"425","chr11",106362305,106362377,73,"+","100216537"
"426","chr11",116535911,116535986,76,"+","100216538"
"427","chr11",77995189,77995258,70,"-","100216539"
"428","chr11",48616641,48616708,68,"+","100216540"
"429","chr6",125136379,125136449,71,"-","100217413"
"430","chr1",161270438,161270555,118,"+","100217414"
"431","chr1",89681146,89681393,248,"+","100217415"
"432","chr15",98356779,98356890,112,"-","100217416"
"433","chr15",98350148,98350265,118,"-","100217417"
"434","chr4",131865868,131865984,117,"+","100217418"
"435","chr7",148634732,148634830,99,"+","100217419"
"436","chr16",23110843,23111006,164,"+","100217420"
"437","chr1",59761652,59761714,63,"+","100217421"
"438","chr14",31829405,31829458,54,"-","100217423"
"439","chr4",116827121,116827179,59,"-","100217424"
"440","chr3",153575093,153575153,61,"-","100217425"
"441","chr11",62416588,62416650,63,"+","100217426"
"442","chr17",35087895,35087953,59,"-","100217427"
"443","chr2",130103762,130103824,63,"+","100217428"
"444","chr7",67123697,67123742,46,"-","100217429"
"445","chr16",20684329,20684386,58,"+","100217430"
"446","chr14",31827479,31827537,59,"-","100217431"
"447","chr8",112363212,112363275,64,"+","100217432"
"448","chr7",51505520,51505591,72,"+","100217433"
"449","chr7",51505225,51505308,84,"+","100217434"
"450","chr2",37255581,37255648,68,"-","100217435"
"451","chr5",23356415,23360742,4328,"+","100217436"
"452","chr4",131866618,131866673,56,"+","100217437"
"453","chr3",108357260,108357320,61,"-","100217438"
"454","chr19",25016728,60850288,35833561,"-","100217439"
"455","chr4",131866222,131866283,62,"+","100217440"
"456","chr7",16524111,16524209,99,"-","100217441"
"457","chr7",134655516,134679890,24375,"+","100217442"
"458","chr2",166890793,166890858,66,"+","100217443"
"459","chr11",62418032,62418088,57,"+","100217444"
"460","chr14",52829461,52829559,99,"-","100217445"
"461","chr1",162968223,162968287,65,"+","100217446"
"462","chr12",81492600,81492724,125,"-","100217447"
"463","chr4",86232357,86232474,118,"-","100217448"
"464","chr1",187066805,187066922,118,"+","100217449"
"465","chr13",96100535,96100691,157,"+","100217450"
"466","chr6",115757993,115758121,129,"-","100217451"
"467","chr2",130101251,130101309,59,"+","100217452"
"468","chr9",64023239,64023329,91,"+","100217453"
"469","chr10",80641706,80641758,53,"+","100217454"
"470","chr11",62416962,62417023,62,"+","100217455"
"471","chr17",71990229,71990296,68,"+","100217456"
"472","chr2",91436238,91436335,98,"+","100217458"
"473","chr1",59748802,59748854,53,"+","100217459"
"474","chr4",130305553,130305617,65,"+","100217460"
"475","chr1",39605592,39605685,94,"-","100217461"
"476","chr17",71980631,71980701,71,"+","100217462"
"477","chr1",63225597,63225709,113,"+","100217464"
"478","chr8",113362435,113362498,64,"-","100217465"
"479","chr18",74938048,74938109,62,"-","100217466"
"480","chr11",6520322,6520422,101,"-","100217467"
"481","chr3",153573531,153573575,45,"-","100217468"
"482","chr11",74718948,74719007,60,"+","100217469"
"483","chr4",132409979,132440373,30395,"-","100226"
"484","chr12",103978040,103996020,17981,"-","100233175"
"485","chr3",79149298,79268050,118753,"+","100233207"
"486","chr10",81111814,81289235,177422,"+","100233208"
"487","chrX",6953051,6955168,2118,"+","100270707"
"488","chr2",84499236,84508938,9703,"+","100270744"
"489","chr5",104499080,104506627,7548,"-","100271704"
"490","chr2",181313185,181319820,6636,"+","100271841"
"491","chr2",150007491,150019015,11525,"+","100271882"
"492","chr8",61178643,61179593,951,"-","100271928"
"493","chr2",25182970,25188091,5122,"-","100272219"
"494","chr17",25411069,25412473,1405,"+","100272221"
"495","chr4",108733750,108874877,141128,"-","100273"
"496","chr12",31569189,31578719,9531,"+","100294583"
"497","chr11",97642953,97643080,128,"-","100302498"
"498","chr7",116663646,116663765,120,"+","100302499"
"499","chr15",5068421,5068480,60,"+","100302529"
"500","chr8",125626958,125627005,48,"+","100302565"
"501","chr7",29136559,29136652,94,"+","100302567"
"502","chr15",79908933,79909009,77,"-","100302601"
"503","chr15",76156447,76157963,1517,"-","100302626"
"504","chr10",59862474,59866306,3833,"+","100302688"
"505","chr3",88579135,88658717,79583,"+","100302730"
"506","chr2",113839301,113890604,51304,"+","100303644"
"507","chr7",3218785,3221016,2232,"+","100303645"
"508","chr12",110892851,110892904,54,"+","100303646"
"509","chr12",110888919,110888948,30,"+","100303647"
"510","chr2",175197963,175210780,12818,"+","100303732"
"511","chrX",143428933,143429051,119,"+","100303736"
"512","chr12",86216752,86220705,3954,"+","100303738"
"513","chr1",88247745,88247860,116,"-","100303740"
"514","chr17",13115723,13115783,61,"+","100303746"
"515","chr11",55296208,55296331,124,"+","100303747"
"516","chr14",76247730,76247841,112,"+","100303751"
"517","chr12",106269287,106269559,273,"-","100306943"
"518","chr17",24856621,24856777,157,"-","100306952"
"519","chr2",26493367,26494841,1475,"-","100306955"
"520","chr4",131865380,131865515,136,"+","100310813"
"521","chr17",6310545,6492320,181776,"-","100310872"
"522","chr4",3099230,3100150,921,"+","100312470"
"523","chr4",3111532,3112452,921,"-","100312471"
"524","chr7",13687346,13688296,951,"-","100312473"
"525","chr7",13763068,13764018,951,"+","100312474"
"526","chr7",20779059,20779982,924,"+","100312475"
"527","chr18",3122492,3123412,921,"-","100312476"
"528","chr7",27051850,27052794,945,"+","100312477"
"529","chr13",22385062,22385967,906,"+","100312484"
"530","chr13",23309242,23310180,939,"+","100312485"
"531","chr9",36388863,36390220,1358,"-","100312948"
"532","chr9",35548634,35549837,1204,"+","100312949"
"533","chr9",35452698,35455787,3090,"-","100312956"
"534","chr9",35584109,35597697,13589,"-","100312986"
"535","chr9",35492664,35494956,2293,"-","100312987"
"536","chr2",144091718,144091938,221,"-","100313519"
"537","chr2",147009819,147157417,147599,"+","100313531"
"538","chr5",74489555,74489675,121,"+","100313943"
"539","chr2",10396927,10397053,127,"+","100316663"
"540","chr13",17839307,17839427,121,"+","100316665"
"541","chr8",32213393,32213514,122,"-","100316666"
"542","chr2",10439231,10439357,127,"+","100316668"
"543","chr12",110850032,110850151,120,"+","100316669"
"544","chr19",23223921,23224041,121,"+","100316672"
